Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,distan_parkKM,dist_schoolKM,NPisos,Estado,id,Realtor
130000000,3603,158537,SanJoaquín,SanJoaquín,3,1,88,200,1,"1,4","0,3",2,0,12995041,
577264000,16000,703980,Independencia,Av.FermínVivaceta2446,4,2,,527,3,"0,3","0,1",1,0,15112161,Cadepar Propiedades SpA
115000000,3187,140244,SanRamón,PasajeTransversalPoniente,3,1,110,230,2,"1,6","0,3",2,1,8850001,Novavista
155000000,4296,189024,Ñuñoa,SuarezMujica,3,1,90,120,,"1,2","0,2",1,1,9551695,Novavista
89836710,2490,109557,Lampa,BlancaEstelaSur4125,2,2,56,86,1,"2,0","0,4",3,0,14914282,Cdprop
160551550,4450,195795,Maipú,barriolautarociudadsateliteavelparque2361,2,3,93,145,2,"1,1","0,2",2,0,14882402,
115000000,3187,140244,Maipú,Aracari389,3,1,76,120,2,"1,6","0,3",1,1,11786572,Silvana Guillen Propiedades
277808300,7700,338791,LaCisterna,Pintados180,5,2,150,330,3,"0,6","0,1",3,1,14612031,Rodrigo Cañas de la Cerda Propiedades
105000000,2910,128049,Paine,LasAcacias112,3,1,60,1164,,"1,7","0,3",2,0,9464865,
325000000,9008,396341,Buin,Maipú490,4,2,127,450,4,"0,6","0,1",1,0,9379847,
140708100,3900,171595,SanBernardo,PasajeTurinPoniente,4,2,85,155,2,"1,3","0,3",3,1,13827055,Rodrigo Cañas de la Cerda Propiedades
58500000,1621,71341,PuenteAlto,lagunillasconestacionsierranevada,2,2,89,100,3,"3,1","0,6",2,1,13751569,Propital
1226686000,34000,1495959,LasCondes,Laforesta,5,5,360,1150,4,"0,1","0,0",1,0,10080545,Premiumpropiedades
111556268,3092,136044,SanBernardo,PasajeRemi,3,2,63,107,2,"1,6","0,3",2,1,10730488,Propiedades Abarca
162355500,4500,197995,Lampa,AvenidaLaMontañaSur4149,3,3,80,156,2,"1,1","0,2",3,1,8677005,Behouse
396869000,11000,483987,Peñalolén,Avconsistorialconelvalle,4,3,142,277,2,"0,5","0,1",1,0,11443495,Propital
579753451,16069,707016,Ñuñoa,Hannoverconestrellasolitaria,6,2,157,408,6,"0,3","0,1",2,0,11417583,Propital
160000000,4435,195122,Recoleta,Av.Valdivieso640,6,3,,250,,"1,1","0,2",3,1,10971135,Alessandro Matteucci Cajas
559224500,15500,681981,Ñuñoa,Valparaíso,4,3,200,648,4,"0,3","0,1",1,1,7050927,Platoni y Bonet Propiedades
75000000,2079,91463,Melipilla,entretacnaconyungaymelipilla,3,1,43,198,2,"2,4","0,5",2,1,8876766,Paula Vivanco Arenas
143000000,3964,174390,Recoleta,DoctorSoterodelRío&Huasco,4,2,160,300,2,"1,3","0,3",3,0,7755357,Navacasa Propiedades
205000000,5682,250000,Santiago,Cuevas/Maule,7,3,161,185,,"0,9","0,2",2,0,8677192,
240000000,6652,292683,Santiago,Carmen/Barretos,5,3,190,250,1,"0,8","0,2",1,0,8677225,
250749050,6950,305792,Buin,CamiloBerriosQuintanilla,3,3,112,240,2,"0,7","0,1",3,0,7970036,Propiedades Abarca
577264000,16000,703980,Vitacura,Géminisii,3,2,140,310,2,"0,3","0,1",2,0,5893319,
98000000,2716,119512,CerroNavia,StrikMatte,2,1,88,120,1,"1,8","0,4",1,0,17333075,Thaiz Alizo
130000000,3603,158537,Cerrillos,Cerrillos,4,1,,180,1,"1,4","0,3",2,0,10088990,
